name,age,rollno,math,physics,chemistry,english,hobbies
Student1,18,1,,,,,"Cricket|Reading"
Student2,19,2,75,82,70,85,"Football|Music"
Student3,18,3,92,89,95,88,"Coding|Chess"
Student4,20,4,65,72,68,74,"Drawing|Gaming"
Student5,19,5,88,91,84,79,"Music|Travel"
Student6,18,6,55,60,58,65,"Swimming|Reading"
Student7,21,7,73,69,75,80,"Photography|Football"
Student8,20,8,81,77,83,86,"Music|Coding"
"John "The Great" Smith",25
Student9,19,9,90,85,87,92,"Cricket|Chess"
Student10,18,10,68,70,72,75,"Gaming|Travel"
Student11,22,11,78,74,80,82,"Reading|Music"
Student12,20,12,84,79,86,88,"Coding|Drawing"
Student13,19,13,72,68,74,76,"Football|Photography"
Student14,21,14,91,88,93,90,"Chess|Music"
Student15,18,15,60,65,63,70,"Travel|Swimming"
Student16,22,16,77,81,79,83,"Gaming|Reading"
Student17,20,17,69,73,71,78,"Music|Cricket"
Student18,19,18,85,87,82,84,"Drawing|Coding"
Student19,21,19,58,62,60,66,"Photography|Travel"
Student20,18,20,94,90,96,89,"Chess|Football"
sssnws
